word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,defer_reason
すぐに,すぐに,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,Instantly,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N5,no,uk:word usually written using kana alone,adv:adverb (fukushi),immediately; right away; at once; instantly,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
一月,ひとつき,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,one month,same-writing-different-reading,,いちがつ,,,,,yes,HIGH,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi),one month,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
点く,つく,N4,"{""N2"": 1, ""N4"": 1}","{""community-independent"": ""N4"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to catch fire; (electricity) comes on,same-reading-different-writing,付く|吐く|就く|点[つ]く|着く|突く,,,,,,yes,HIGH,yes,yes,yes,N2,yes,uk:word usually written using kana alone,v5k:Godan verb with 'ku' ending|vi:intransitive verb,"to be lit (of a lamp, burner, etc.); to catch fire; to ignite; to start burning; to be turned on (of a light, appliance, etc.); to come on",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
いけない,いけない,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"must not do,bad,wrong,not good",fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,after the -te form of a verb or adjective | as ...(すると|しては)いけない(から|ので) | used to express sympathy,"adj-i:adjective (keiyoushi)|exp:expressions (phrases, clauses, etc.)","bad; wrong; naughty; must not (do, be); should not; ought not to",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
いらっしゃい,いらっしゃい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,welcome,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,hon:honorific or respectful (sonkeigo) language | used as a polite imperative,int:interjection (kandoushi),come; go; stay; welcome,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
治める,おさめる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(1) to govern; to manage; (2) to subdue,same-reading-different-writing,修める|収める|納める,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,v1:Ichidan verb|vt:transitive verb,to rule; to govern; to reign over; to administer; to manage (e.g. a household); to subdue,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
泳ぎ,およぎ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,swimming,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),swimming,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
課程,かてい,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,course; curriculum,same-reading-different-writing,仮定|家庭|過程,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,n:noun (common) (futsuumeishi),course; curriculum,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
カー,カー,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,car,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),car,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
季刊,きかん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,quarterly (e.g. magazine),same-reading-different-writing,器官|帰還|期間|機関|気管,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),quarterly publication,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
