word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,source_check_decision,source_check_reason,pinned_tc_meaning,publish_level,level_status,defer_reason
お金持ち,おかねもち,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,lexical,rich man,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),rich person; wealthy person,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
二階建て,にかいだて,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,two storied,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),two-storied building,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
御,お,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,honourable,same-reading-different-writing,尾,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,hon:honorific or respectful (sonkeigo) language | hum:humble (kenjougo) language | pol:polite (teineigo) language | uk:word usually written using kana alone | usu. before a term with a kun-yomi reading; おん is more formal,pref:prefix,honorific/polite/humble prefix,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
金曜,きんよう,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,(abbr) Friday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),Friday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
月曜,げつよう,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,Monday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),Monday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
土曜,どよう,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,Saturday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),Saturday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
日曜,にちよう,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,Sunday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),Sunday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
碑,ひ,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,lexical,stone monument bearing an inscription,same-reading-different-writing,妃|日|比|火|灯|費|非,,,,,,yes,SINGLE_SOURCE,yes,yes,no,N1,yes,,n:noun (common) (futsuumeishi),stone monument bearing an inscription (esp. memorial for future generations); stele; stela,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-conflict,no-reliable-traditional-chinese-meaning-after-full-source-scan
木曜,もくよう,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,Thursday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),Thursday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
来,らい,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,for (10 days); next (year),fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,,pref:prefix|suf:suffix,"next (year, spring, etc.); coming; since (e.g. last month); for (e.g. 20 years)",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
